,cluster
0,2
1,9
2,9
3,9
4,9
5,3
6,9
7,7
8,7
9,7
10,3
11,9
12,9
13,9
14,7
15,9
16,9
17,9
18,7
19,9
20,7
21,9
22,9
23,9
24,8
25,2
26,9
27,8
28,9
29,9
30,9
31,9
32,3
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,3
41,9
42,7
43,7
44,3
45,7
46,7
47,7
48,7
49,7
50,9
51,1
52,8
53,9
54,9
55,7
56,9
57,9
58,9
59,7
60,9
61,0
62,9
63,9
64,9
65,9
66,9
67,9
68,7
69,9
70,0
71,9
72,9
73,1
74,0
75,9
76,3
77,9
78,9
79,2
80,2
81,9
82,9
83,9
84,9
85,9
86,2
87,9
88,9
89,3
90,9
91,9
92,7
93,9
94,9
95,9
96,9
97,9
98,8
99,7
100,3
101,2
102,9
103,7
104,9
105,3
106,9
107,9
108,7
109,8
110,9
111,9
112,9
113,0
114,0
115,9
116,5
117,9
118,9
119,9
120,9
121,9
122,9
123,9
124,9
125,2
126,9
127,9
128,3
129,9
130,0
131,7
132,0
133,7
134,3
135,9
136,9
137,7
138,8
139,7
140,3
141,9
142,3
143,7
144,2
145,3
146,3
147,9
148,3
149,3
150,9
151,9
152,7
153,9
154,9
155,9
156,9
157,3
158,2
159,3
160,9
161,9
162,7
163,5
164,9
165,8
166,7
167,9
168,9
169,8
170,9
171,8
172,9
173,9
174,2
175,9
176,7
177,9
178,9
179,9
180,7
181,3
182,9
183,5
184,7
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,9
194,9
195,9
196,9
197,7
198,3
199,3
200,3
201,9
202,2
203,9
204,7
205,0
206,9
207,9
208,9
209,7
210,9
211,9
212,7
213,9
214,3
215,9
216,0
217,3
218,9
219,3
220,7
221,9
222,7
223,9
224,9
225,9
226,9
227,7
228,9
229,9
230,9
231,9
232,9
233,9
234,3
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,7
243,3
244,8
245,9
246,9
247,7
248,7
249,7
250,9
251,9
252,9
253,4
254,9
255,9
256,3
257,9
258,8
259,9
260,9
261,9
262,9
263,9
264,9
265,9
266,3
267,9
268,9
269,9
270,9
271,9
272,9
273,9
274,9
275,9
276,9
277,9
278,9
279,9
280,3
281,9
282,9
283,9
284,5
285,9
286,9
287,9
288,9
289,9
290,8
291,3
292,9
293,9
294,9
295,9
296,7
297,9
298,3
299,2
300,9
301,9
302,9
303,9
304,3
305,9
306,8
307,9
308,9
309,9
310,9
311,7
312,9
313,9
314,9
315,5
316,9
317,9
318,0
319,9
320,3
321,3
322,9
323,9
324,9
325,9
326,9
327,3
328,2
329,9
330,9
331,9
332,7
333,3
334,9
335,9
336,9
337,9
338,9
339,7
340,3
341,7
342,9
343,1
344,7
345,7
346,3
347,9
348,9
349,9
350,9
351,9
352,9
353,9
354,5
355,2
356,9
357,7
358,9
359,9
360,3
361,7
362,9
363,9
364,9
365,7
366,9
367,7
368,9
369,9
370,6
371,3
372,7
373,9
374,9
375,3
376,9
377,9
378,3
379,7
380,9
381,7
382,9
383,9
384,9
385,9
386,3
387,2
388,3
389,9
390,7
391,3
392,3
393,9
394,9
395,7
396,0
397,2
398,7
399,0
400,9
401,9
402,5
403,9
404,9
405,9
406,3
407,9
408,9
409,9
410,9
411,9
412,9
413,9
414,9
415,9
416,9
417,9
418,7
419,5
420,0
421,7
422,9
423,0
424,9
425,9
426,9
427,9
428,9
429,9
430,9
431,9
432,3
433,9
434,9
435,3
436,9
437,9
438,3
439,5
440,9
441,8
442,0
443,9
444,3
445,7
446,3
447,0
448,9
449,7
450,9
451,5
452,9
453,5
454,9
455,7
456,2
457,9
458,9
459,9
460,9
461,2
462,3
463,9
464,9
465,9
466,9
467,9
468,9
469,9
470,9
471,7
472,9
473,9
474,9
475,9
476,3
477,9
478,9
479,9
480,9
481,9
482,7
483,9
484,9
485,3
486,9
487,9
488,7
489,8
490,9
491,7
492,8
493,3
494,3
495,0
496,7
497,8
498,7
499,3
500,9
501,3
502,9
503,9
504,9
505,9
506,9
507,9
508,9
509,9
510,9
511,3
512,3
513,9
514,7
515,0
516,3
517,9
518,1
519,9
520,5
521,7
522,9
523,9
524,9
525,3
526,0
527,9
528,3
529,9
530,9
531,9
532,9
533,9
534,8
535,8
536,9
537,9
538,9
539,9
540,9
541,9
542,3
543,9
544,7
545,7
546,9
547,9
548,9
549,1
550,9
551,9
552,2
553,7
554,9
555,3
556,2
557,9
558,7
559,5
560,9
561,9
562,9
563,9
564,9
565,9
566,9
567,9
568,9
569,0
570,9
571,3
572,9
573,2
574,9
575,9
576,9
577,9
578,7
579,7
580,9
581,9
582,9
583,7
584,3
585,8
586,3
587,9
588,9
589,9
590,3
591,9
592,3
593,3
594,9
595,9
596,2
597,3
598,1
599,0
600,9
601,9
602,3
603,9
604,9
605,3
606,9
607,9
608,9
609,8
610,9
611,3
612,9
613,9
614,8
615,9
616,9
617,7
618,2
619,8
620,0
621,0
622,9
623,9
624,7
625,9
626,9
627,9
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,3
636,0
637,3
638,5
639,9
640,2
641,2
642,7
643,9
644,9
645,7
646,9
647,7
648,9
649,0
650,5
651,9
652,9
653,5
654,9
655,0
656,9
657,9
658,9
659,7
660,7
661,9
662,9
663,2
664,7
665,7
666,9
667,7
668,9
669,9
670,9
671,9
672,5
673,3
674,7
675,8
676,3
677,7
678,7
679,8
680,9
681,3
682,7
683,9
684,0
685,1
686,7
687,7
688,7
689,9
690,9
691,2
692,3
693,3
694,7
695,3
696,7
697,3
698,3
699,9
700,2
701,9
702,7
703,9
704,2
705,7
706,9
707,9
708,5
709,3
710,7
711,9
712,3
713,3
714,9
715,8
716,3
717,3
718,9
719,3
720,9
721,9
722,9
723,9
724,9
725,9
726,9
727,3
728,8
729,3
730,3
731,9
732,9
733,3
734,3
735,3
736,9
737,9
738,3
739,0
740,8
741,1
742,3
743,7
744,1
745,8
746,3
747,9
748,9
749,0
750,7
751,7
752,4
753,3
754,2
755,0
756,7
757,9
758,7
759,9
760,3
761,9
762,5
763,9
764,3
765,9
766,5
767,9
768,6
769,7
770,9
771,9
772,9
773,7
774,9
775,9
776,9
777,9
778,9
779,7
780,9
781,3
782,7
783,9
784,1
785,7
786,7
787,9
788,7
789,7
790,7
791,7
792,3
793,7
794,7
795,9
796,7
797,0
798,9
799,7
800,7
801,9
802,9
803,7
804,9
805,2
806,7
807,5
808,9
809,9
810,9
811,7
812,9
813,3
814,7
815,9
816,2
817,9
818,9
819,9
820,9
821,3
822,3
823,9
824,9
825,9
826,9
827,9
828,3
829,9
830,9
831,9
832,3
833,9
834,9
835,9
836,9
837,3
838,7
839,3
840,9
841,7
842,3
843,3
844,3
845,7
846,0
847,8
848,7
849,8
850,3
851,4
852,9
853,3
854,9
855,9
856,7
857,9
858,7
859,9
860,9
861,9
862,5
863,9
864,9
865,9
866,3
867,3
868,9
869,3
870,9
871,9
872,3
873,9
874,7
875,3
876,3
877,3
878,3
879,5
880,3
881,9
882,4
883,9
884,7
885,9
886,9
887,9
888,7
889,3
890,3
891,3
892,2
893,7
894,3
895,9
896,2
897,3
898,3
899,7
900,9
901,9
902,8
903,3
904,9
905,9
906,9
907,9
908,9
909,9
910,7
911,9
912,5
913,9
914,9
915,3
916,0
917,9
918,9
919,9
920,9
921,2
922,1
923,7
924,3
925,9
926,5
927,7
928,0
929,0
930,9
931,9
932,7
933,7
934,9
935,9
936,7
937,7
938,7
939,3
940,3
941,2
942,9
943,0
944,9
945,9
946,1
947,7
948,9
949,7
950,9
951,3
952,9
953,9
954,9
955,9
956,9
957,3
958,9
959,5
960,9
961,3
962,9
963,7
964,9
965,9
966,3
967,3
968,3
969,5
970,9
971,0
972,9
973,9
974,5
975,8
976,7
977,5
978,2
979,9
980,9
981,9
982,0
983,3
984,8
985,9
986,9
987,3
988,8
989,3
990,9
991,3
992,2
993,7
994,3
995,7
996,9
997,9
998,0
999,0
1000,6
1001,6
1002,2
1003,8
1004,9
1005,8
1006,6
1007,2
1008,3
1009,6
1010,6
1011,6
1012,6
1013,2
1014,6
1015,3
